[TsDigitalMultiMeterViewer Ver.19.0.0 : Auto save Log-1 [@HID Multimeter] : Date 00:00:00];Geoelectric Helix Radar;Geoelectric Helix Radar
 Elapsed time | Main Value               | Mode  | Date Time
   1:27'27"38 ; DC    ;  66,160 ;     mV ;       ; 00:00:00
   1:27'27"79 ; DC    ;  66,180 ;     mV ;       ; 00:00:00
   1:27'28"15 ; DC    ;  66,190 ;     mV ;       ; 00:00:00
   1:27'28"50 ; DC    ;  66,180 ;     mV ;       ; 00:00:01
   1:27'28"92 ; DC    ;  66,190 ;     mV ;       ; 00:00:01
   1:27'29"32 ; DC    ;  66,190 ;     mV ;       ; 00:00:01
   1:27'29"69 ; DC    ;  66,200 ;     mV ;       ; 00:00:02
   1:27'30"15 ; DC    ;  66,220 ;     mV ;       ; 00:00:02
   1:27'30"51 ; DC    ;  66,220 ;     mV ;       ; 00:00:03
   1:27'30"91 ; DC    ;  66,200 ;     mV ;       ; 00:00:03
   1:27'31"27 ; DC    ;  66,190 ;     mV ;       ; 00:00:03
   1:27'31"66 ; DC    ;  66,230 ;     mV ;       ; 00:00:04
   1:27'32"02 ; DC    ;  66,220 ;     mV ;       ; 00:00:04
   1:27'32"35 ; DC    ;  66,230 ;     mV ;       ; 00:00:05
   1:27'32"69 ; DC    ;  66,270 ;     mV ;       ; 00:00:05
   1:27'33"05 ; DC    ;  66,190 ;     mV ;       ; 00:00:05
   1:27'33"39 ; DC    ;  66,250 ;     mV ;       ; 00:00:06
   1:27'33"75 ; DC    ;  66,190 ;     mV ;       ; 00:00:06
   1:27'34"10 ; DC    ;  66,270 ;     mV ;       ; 00:00:06
   1:27'34"46 ; DC    ;  66,300 ;     mV ;       ; 00:00:07
   1:27'34"79 ; DC    ;  66,280 ;     mV ;       ; 00:00:07
   1:27'35"19 ; DC    ;  66,300 ;     mV ;       ; 00:00:07
   1:27'35"56 ; DC    ;  66,310 ;     mV ;       ; 00:00:08
   1:27'35"91 ; DC    ;  66,310 ;     mV ;       ; 00:00:08
   1:27'36"27 ; DC    ;  66,300 ;     mV ;       ; 00:00:08
   1:27'36"61 ; DC    ;  66,320 ;     mV ;       ; 00:00:09
   1:27'36"94 ; DC    ;  66,310 ;     mV ;       ; 00:00:09
   1:27'37"27 ; DC    ;  66,350 ;     mV ;       ; 00:00:09
   1:27'37"60 ; DC    ;  66,330 ;     mV ;       ; 00:00:10
   1:27'37"93 ; DC    ;  66,340 ;     mV ;       ; 00:00:10
   1:27'38"26 ; DC    ;  66,360 ;     mV ;       ; 00:00:10
   1:27'38"58 ; DC    ;  66,360 ;     mV ;       ; 00:00:11
   1:27'38"91 ; DC    ;  66,360 ;     mV ;       ; 00:00:11
   1:27'39"25 ; DC    ;  66,390 ;     mV ;       ; 00:00:11
   1:27'39"63 ; DC    ;  66,390 ;     mV ;       ; 00:00:12
   1:27'39"99 ; DC    ;  66,390 ;     mV ;       ; 00:00:12
   1:27'40"34 ; DC    ;  66,390 ;     mV ;       ; 00:00:13
   1:27'40"66 ; DC    ;  66,390 ;     mV ;       ; 00:00:13
   1:27'41"01 ; DC    ;  66,420 ;     mV ;       ; 00:00:13
   1:27'41"35 ; DC    ;  66,440 ;     mV ;       ; 00:00:14
   1:27'41"69 ; DC    ;  66,410 ;     mV ;       ; 00:00:14
   1:27'42"03 ; DC    ;  66,440 ;     mV ;       ; 00:00:14
   1:27'42"36 ; DC    ;  66,420 ;     mV ;       ; 00:00:15
   1:27'42"69 ; DC    ;  66,440 ;     mV ;       ; 00:00:15
   1:27'43"04 ; DC    ;  66,420 ;     mV ;       ; 00:00:15
   1:27'43"37 ; DC    ;  66,410 ;     mV ;       ; 00:00:16
   1:27'43"71 ; DC    ;  66,440 ;     mV ;       ; 00:00:16
   1:27'44"05 ; DC    ;  66,450 ;     mV ;       ; 00:00:16
   1:27'44"39 ; DC    ;  66,430 ;     mV ;       ; 00:00:17
   1:27'44"73 ; DC    ;  66,440 ;     mV ;       ; 00:00:17
   1:27'45"10 ; DC    ;  66,430 ;     mV ;       ; 00:00:17
   1:27'45"45 ; DC    ;  66,430 ;     mV ;       ; 00:00:18
   1:27'45"79 ; DC    ;  66,450 ;     mV ;       ; 00:00:18
   1:27'46"13 ; DC    ;  66,460 ;     mV ;       ; 00:00:18
   1:27'46"46 ; DC    ;  66,450 ;     mV ;       ; 00:00:19
   1:27'46"81 ; DC    ;  66,490 ;     mV ;       ; 00:00:19
   1:27'47"17 ; DC    ;  66,480 ;     mV ;       ; 00:00:19
   1:27'47"49 ; DC    ;  66,500 ;     mV ;       ; 00:00:20
   1:27'47"82 ; DC    ;  66,460 ;     mV ;       ; 00:00:20
   1:27'48"16 ; DC    ;  66,480 ;     mV ;       ; 00:00:20
   1:27'48"49 ; DC    ;  66,470 ;     mV ;       ; 00:00:21
   1:27'48"82 ; DC    ;  66,500 ;     mV ;       ; 00:00:21
   1:27'49"14 ; DC    ;  66,480 ;     mV ;       ; 00:00:21
   1:27'49"48 ; DC    ;  66,530 ;     mV ;       ; 00:00:22
   1:27'49"81 ; DC    ;  66,500 ;     mV ;       ; 00:00:22
   1:27'50"17 ; DC    ;  66,560 ;     mV ;       ; 00:00:22
   1:27'50"53 ; DC    ;  66,530 ;     mV ;       ; 00:00:23
   1:27'50"87 ; DC    ;  66,570 ;     mV ;       ; 00:00:23
   1:27'51"22 ; DC    ;  66,520 ;     mV ;       ; 00:00:23
   1:27'51"61 ; DC    ;  66,530 ;     mV ;       ; 00:00:24
   1:27'51"95 ; DC    ;  66,530 ;     mV ;       ; 00:00:24
   1:27'52"31 ; DC    ;  66,520 ;     mV ;       ; 00:00:24
   1:27'52"65 ; DC    ;  66,530 ;     mV ;       ; 00:00:25
   1:27'53"04 ; DC    ;  66,540 ;     mV ;       ; 00:00:25
   1:27'53"43 ; DC    ;  66,560 ;     mV ;       ; 00:00:26
   1:27'53"79 ; DC    ;  66,550 ;     mV ;       ; 00:00:26
   1:27'54"14 ; DC    ;  66,580 ;     mV ;       ; 00:00:26
   1:27'54"50 ; DC    ;  66,550 ;     mV ;       ; 00:00:27
   1:27'54"84 ; DC    ;  66,570 ;     mV ;       ; 00:00:27
   1:27'55"20 ; DC    ;  66,600 ;     mV ;       ; 00:00:27
   1:27'55"54 ; DC    ;  66,590 ;     mV ;       ; 00:00:28
