     1:32'59" ; DC    ;  69,404 ;     mV ;       ; 04:44:46
     1:33'00" ; DC    ;  69,395 ;     mV ;       ; 04:44:47
     1:33'01" ; DC    ;  69,398 ;     mV ;       ; 04:44:48
     1:33'02" ; DC    ;  69,386 ;     mV ;       ; 04:44:49
     1:33'03" ; DC    ;  69,375 ;     mV ;       ; 04:44:50
     1:33'04" ; DC    ;  69,388 ;     mV ;       ; 04:44:51
     1:33'05" ; DC    ;  69,404 ;     mV ;       ; 04:44:52
     1:33'06" ; DC    ;  69,388 ;     mV ;       ; 04:44:53
     1:33'07" ; DC    ;  69,394 ;     mV ;       ; 04:44:54
     1:33'08" ; DC    ;  69,388 ;     mV ;       ; 04:44:55
     1:33'09" ; DC    ;  69,392 ;     mV ;       ; 04:44:56
     1:33'10" ; DC    ;  69,383 ;     mV ;       ; 04:44:57
     1:33'11" ; DC    ;  69,368 ;     mV ;       ; 04:44:58
     1:33'12" ; DC    ;  69,368 ;     mV ;       ; 04:44:59
     1:33'13" ; DC    ;  69,370 ;     mV ;       ; 04:45:00
     1:33'14" ; DC    ;  69,372 ;     mV ;       ; 04:45:01
     1:33'15" ; DC    ;  69,363 ;     mV ;       ; 04:45:02
     1:33'16" ; DC    ;  69,365 ;     mV ;       ; 04:45:03
     1:33'17" ; DC    ;  69,360 ;     mV ;       ; 04:45:04
     1:33'18" ; DC    ;  69,363 ;     mV ;       ; 04:45:05
     1:33'19" ; DC    ;  69,378 ;     mV ;       ; 04:45:06
     1:33'20" ; DC    ;  69,363 ;     mV ;       ; 04:45:07
     1:33'21" ; DC    ;  69,368 ;     mV ;       ; 04:45:08
     1:33'22" ; DC    ;  69,380 ;     mV ;       ; 04:45:09
     1:33'23" ; DC    ;  69,393 ;     mV ;       ; 04:45:10
     1:33'24" ; DC    ;  69,415 ;     mV ;       ; 04:45:11
     1:33'25" ; DC    ;  69,414 ;     mV ;       ; 04:45:12
     1:33'26" ; DC    ;  69,396 ;     mV ;       ; 04:45:13
     1:33'27" ; DC    ;  69,398 ;     mV ;       ; 04:45:14
     1:33'28" ; DC    ;  69,390 ;     mV ;       ; 04:45:15
     1:33'29" ; DC    ;  69,388 ;     mV ;       ; 04:45:16
     1:33'30" ; DC    ;  69,390 ;     mV ;       ; 04:45:17
     1:33'31" ; DC    ;  69,393 ;     mV ;       ; 04:45:18
     1:33'32" ; DC    ;  69,380 ;     mV ;       ; 04:45:19
     1:33'33" ; DC    ;  69,370 ;     mV ;       ; 04:45:20
